Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,Player_id,Squad_id,Sh,SoT,Dist,FK,npxG_by_Sh,G-xG,np:G-xG,Passes_Cmp,Passes_Att,Passes_TotDist,Passes_PrgDist,KP,LastThird,PPA,CrsPA,Tkl,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,Blocks,Blocks_Sh,Blocks_Pass,Int,Clr,Err,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Dribbles_Succ,Dribbles_Att,Receiving_Rec,Receiving_Prog,Subs,unSub,TS_PPM,TS_onG,TS_onGA,TS_Diff,TS_On-Off,TS(xG)_onxG,TS(xG)_onxGA,TS(xG)_xGDiff,TS(xG)_On-Off,2CrdY,Fls,Fld,Off,Crs,TklW,PKcon,OG,Recov,AerialDuels_Won,AerialDuels_Lost
Marina Georgieva,at AUT,"FW,DF",Paris S-G,25-242,1997,2,0,18,0,0,0,0,0,0,0.0,0.0,0.0,7f22b5c7,80595417,0,0,,0,,0.0,0.0,0,26,306,108,1,3,0,0,1,0,1,0,1,0,1,1,0,0,31,0,5,23,3,1,31,0,0,17,0,0,4,,,,,,,,,,0,0,1,0,0,1,0,0,3,1,0
Luna Gevitz,dk DEN,DF,Montpellier,28-283,1994,10,9,807,3,0,0,0,1,0,0.5,0.2,0.1,a274adc6,7bbdea71,4,3,10.5,0,0.06,+2.5,+2.8,0,358,6553,2411,2,11,0,0,12,10,2,0,3,3,0,10,23,2,420,57,272,142,7,5,420,1,1,272,0,1,0,0.89,5,13,-8,+6.63,6.4,16.2,-9.8,+2.49,0,5,1,0,0,8,1,0,46,11,8
Grace Geyoro,fr FRA,MF,Paris S-G,25-162,1997,10,7,756,4,2,0,0,1,0,2.9,2.9,0.7,80fc50e5,80595417,13,10,13.7,0,0.23,+1.1,+1.1,0,388,5274,1226,7,31,7,0,13,4,6,3,2,0,2,8,0,0,440,0,34,241,173,27,440,7,11,341,49,3,0,1.67,10,6,+4,-0.66,8.9,4.7,+4.1,+0.25,0,9,13,5,5,10,0,0,60,5,1
Vanessa Gilles,ca CAN,DF,Lyon,26-275,1996,3,3,243,0,1,0,0,1,0,0.1,0.1,0.1,a179cd70,7f2012ad,1,0,10.6,0,0.07,-0.1,-0.1,0,194,3469,1345,2,18,0,0,2,0,2,0,2,1,1,2,4,0,208,11,89,110,9,2,208,0,0,154,0,4,0,1.80,10,5,+5,-1.45,12.2,6.3,+5.9,+0.54,0,2,2,0,1,2,0,0,14,3,2
Lena Goetsch,fr FRA,"DF,MF",Dijon,23-065,1999,10,7,735,0,0,0,0,0,0,0.1,0.1,0.2,98a9b9f8,68f9fd31,3,0,26.3,0,0.04,-0.1,-0.1,0,420,5815,2862,3,16,2,1,26,16,7,3,9,3,6,27,15,0,516,39,241,204,77,2,516,3,5,247,9,1,0,2.00,3,1,+2,+1.42,,,,,0,8,7,1,14,17,0,0,68,3,1
Mélissa Gomes,pt POR,FW,Bordeaux,28-228,1994,11,5,557,3,1,0,0,0,0,2.6,2.6,0.5,faa2bf5d,69dee2b0,23,10,19.1,1,0.11,+0.4,+0.4,0,147,1444,475,4,12,6,1,13,4,6,3,5,1,4,4,2,0,227,3,17,111,104,23,227,7,15,148,24,2,1,3.00,2,0,+2,+0.57,1.3,0.2,+1.1,-0.37,0,5,10,4,7,9,0,0,29,5,13
Sh'nia Gordon,us USA,"FW,MF",Le Havre,25-246,1997,6,3,295,1,1,0,0,0,0,0.5,0.5,0.7,7bc0d597,c57b7254,7,2,19.2,0,0.08,+0.5,+0.5,0,53,572,199,3,5,1,0,3,0,2,1,4,0,4,0,0,0,98,0,14,39,47,12,98,4,14,63,16,5,0,1.50,10,6,+4,-0.33,8.1,5.0,+3.2,+0.08,0,4,2,3,4,3,0,0,16,0,2
Dominika Grabowska,pl POL,MF,Fleury,23-350,1998,4,4,324,0,1,0,0,2,0,0.4,0.4,0.9,82a65245,4fcc2996,9,6,24.5,0,0.04,-0.4,-0.4,0,147,1654,531,12,12,8,2,6,0,3,3,8,0,8,6,2,0,182,3,30,89,67,7,182,1,2,107,14,5,0,1.56,7,2,+5,+0.93,5.0,3.2,+1.8,+0.03,0,4,7,0,7,5,0,0,29,3,0
Théa Greboval,fr FRA,DF,Paris FC,25-250,1997,10,10,900,1,0,0,0,2,0,0.3,0.3,0.5,54325fac,28d9b675,4,1,23.6,3,0.07,+0.7,+0.7,0,596,9252,4147,4,29,0,0,5,4,0,1,4,1,3,24,33,0,676,55,405,247,25,2,676,2,2,420,2,0,0,1.44,17,13,+4,+3.44,11.1,13.7,-2.6,+1.90,0,11,7,0,13,3,0,0,81,11,7
Małgorzata Grec,pl POL,DF,Dijon,23-091,1999,9,9,810,0,0,0,0,1,0,0.0,0.0,0.0,d248a6a9,68f9fd31,1,0,11.0,0,0.01,0.0,0.0,0,516,8758,3429,0,15,1,0,19,15,4,0,16,13,3,23,51,2,631,120,484,148,6,2,631,4,5,382,0,0,0,1.36,14,15,-1,-0.09,12.1,10.5,+1.6,+1.07,0,7,1,0,1,12,0,0,50,10,4
